,Quarter,Time,Tm,Detail,ARI,DAL
0,1.0,3:33,Cowboys,Terry Glenn 51 yard pass from Quincy Carter (Billy Cundiff kick),0,7
1,1.0,1:52,Cardinals,Bryan Gilmore 24 yard pass from Jeff Blake (Tim Duncan kick),7,7
2,2.0,13:48,Cowboys,Richie Anderson 18 yard pass from Quincy Carter (Billy Cundiff kick),7,14
3,2.0,2:12,Cowboys,Billy Cundiff 33 yard field goal,7,17
4,3.0,10:29,Cowboys,Billy Cundiff 36 yard field goal,7,20
5,3.0,6:46,Cowboys,"Safety,",7,22
6,3.0,3:34,Cowboys,"Safety,",7,24
