,Quarter,Tm,Detail,STL,KAN
0,1.0,Cardinals,Lee Nelson 36 yard defensive fumble return (Neil O'Donoghue kick),7,0
1,1.0,Chiefs,Charles Jackson 37 yard defensive fumble return (Nick Lowery kick),7,7
2,1.0,Chiefs,Henry Marshall 10 yard pass from Bill Kenney (Nick Lowery kick),7,14
3,3.0,Chiefs,Nick Lowery 45 yard field goal,7,17
4,4.0,Chiefs,Billy Jackson 6 yard rush (Nick Lowery kick),7,24
5,4.0,Chiefs,Theotis Brown 1 yard rush (Nick Lowery kick),7,31
6,4.0,Chiefs,Willie Scott 15 yard pass from Todd Blackledge (Nick Lowery kick),7,38
7,4.0,Cardinals,Ottis Anderson 39 yard rush (Neil O'Donoghue kick),14,38
