,Quarter,Tm,Detail,PHO,ATL
0,1.0,Cardinals,Randal Hill 7 yard pass from Steve Beuerlein (Greg Davis kick),7,0
1,1.0,Falcons,Norm Johnson 24 yard field goal,7,3
2,2.0,Cardinals,Randal Hill 9 yard pass from Steve Beuerlein (Greg Davis kick),14,3
3,2.0,Cardinals,Greg Davis 29 yard field goal,17,3
4,3.0,Falcons,Erric Pegram 19 yard rush (Norm Johnson kick),17,10
5,3.0,Cardinals,Greg Davis 20 yard field goal,20,10
6,4.0,Cardinals,Gary Clark 20 yard pass from Steve Beuerlein (Greg Davis kick),27,10
