,Quarter,Tm,Detail,GNB,NYG
0,1.0,Giants,Alex Webster 3 yard rush (Pat Summerall kick),0,7
1,2.0,Packers,Paul Hornung 28 yard field goal,3,7
2,2.0,Giants,Pat Summerall 49 yard field goal,3,10
3,3.0,Giants,Alex Webster 7 yard rush (Pat Summerall kick),3,17
4,3.0,Giants,Pat Summerall 49 yard field goal,3,20
