,Quarter,Time,Tm,Detail,LAR,NOR
0,1.0,9:25,Saints,Alvin Kamara 11 yard rush (Wil Lutz kick),0,7
1,1.0,6:04,Rams,Todd Gurley 8 yard rush (Greg Zuerlein kick),7,7
2,1.0,1:40,Saints,Alvin Kamara 16 yard pass from Drew Brees (Wil Lutz kick),7,14
3,2.0,14:12,Rams,Brandin Cooks 4 yard pass from Jared Goff (Greg Zuerlein kick),14,14
4,2.0,7:35,Saints,Tre'Quan Smith 4 yard pass from Drew Brees (Wil Lutz kick),14,21
5,2.0,1:06,Saints,Ben Watson 13 yard pass from Drew Brees (Wil Lutz kick),14,28
6,2.0,0:26,Saints,Alvin Kamara 1 yard rush (Wil Lutz kick),14,35
7,2.0,0:00,Rams,Greg Zuerlein 56 yard field goal,17,35
8,3.0,9:38,Rams,Malcolm Brown 18 yard pass from Jared Goff (Greg Zuerlein kick),24,35
9,3.0,1:30,Rams,Greg Zuerlein 34 yard field goal,27,35
10,4.0,9:48,Rams,Cooper Kupp 41 yard pass from Jared Goff (Gerald Everett pass from Jared Goff),35,35
11,4.0,6:23,Saints,Wil Lutz 54 yard field goal,35,38
12,4.0,3:52,Saints,Michael Thomas 72 yard pass from Drew Brees (Wil Lutz kick),35,45
