,Quarter,Tm,Detail,IND,TAM
0,1.0,Buccaneers,Stanford Jennings 20 yard pass from Vinny Testaverde (Ken Willis kick),0,7
1,1.0,Colts,Rodney Culver 2 yard rush (Dean Biasucci kick),7,7
2,2.0,Buccaneers,Reggie Cobb 1 yard rush (Ken Willis kick),7,14
3,3.0,Colts,Jessie Hester 34 yard pass from Jeff George (Dean Biasucci kick),14,14
4,3.0,Colts,Dean Biasucci 45 yard field goal,17,14
5,4.0,Colts,Kerry Cash 14 yard pass from Jeff George (Dean Biasucci kick),24,14
