,Quarter,Time,Tm,Detail,ARI,DEN
0,1.0,4:30,Broncos,Jason Elam 44 yard field goal,0,3
1,2.0,14:13,Broncos,Jason Elam 54 yard field goal,0,6
2,2.0,8:06,Broncos,Jason Elam 21 yard field goal,0,9
3,2.0,0:01,Cardinals,Kevin Kasper 1 yard pass from Jake Plummer (Bill Gramatica kick),7,9
4,3.0,6:17,Broncos,Ashley Lelie 5 yard pass from Steve Beuerlein (Jason Elam kick),7,16
5,4.0,12:49,Broncos,Rod Smith 10 yard pass from Steve Beuerlein (Jason Elam kick),7,23
6,4.0,7:35,Broncos,Clinton Portis 4 yard rush (Jason Elam kick),7,30
7,4.0,4:11,Broncos,Clinton Portis 12 yard rush (Jason Elam kick),7,37
