,Quarter,Tm,Detail,POT,CRD
0,2.0,Maroons,Barney Wentz unknown yard rush (Charlie Berry kick),7,0
1,2.0,Maroons,Walter French 30 yard rush (Charlie Berry kick),14,0
2,2.0,Cardinals,Bob Koehler unknown yard rush (Paddy Driscoll kick),14,7
3,4.0,Maroons,Barney Wentz 3 yard rush (Charlie Berry kick),21,7
