,Quarter,Time,Tm,Detail,CIN,JAX
0,1.0,,Jaguars,Mickey Washington 64 yard blocked field goal return (Mike Hollis kick),0,7
1,1.0,,Jaguars,Mike Hollis 25 yard field goal,0,10
2,1.0,,Bengals,Carl Pickens 23 yard pass from Jeff Blake (Doug Pelfrey kick),7,10
3,1.0,,Jaguars,Mike Hollis 46 yard field goal,7,13
4,2.0,,Bengals,Doug Pelfrey 22 yard field goal,10,13
5,2.0,,Bengals,Carl Pickens 8 yard pass from Jeff Blake (Doug Pelfrey kick),17,13
6,2.0,,Jaguars,Mike Hollis 40 yard field goal,17,16
7,3.0,,Jaguars,Mike Hollis 39 yard field goal,17,19
8,3.0,,Bengals,Doug Pelfrey 34 yard field goal,20,19
9,3.0,,Jaguars,Keenan McCardell 48 yard pass from Mark Brunell (Willie Jackson pass from Mark Brunell),20,27
10,4.0,,Jaguars,Mike Hollis 20 yard field goal,20,30
11,4.0,,Bengals,Carl Pickens 25 yard pass from Jeff Blake (Doug Pelfrey kick),27,30
