,Quarter,Tm,Detail,SFO,NOR
0,1.0,49ers,Bruce Taylor 58 yard blocked field goal return (Bruce Gossett kick),7,0
1,2.0,49ers,Ken Willard 1 yard rush (Bruce Gossett kick),14,0
2,2.0,Saints,Danny Abramowicz 25 yard pass from Edd Hargett (Skip Butler kick),14,7
3,3.0,49ers,Bruce Gossett 42 yard field goal,17,7
4,3.0,49ers,Vic Washington 34 yard rush (Bruce Gossett kick),24,7
5,4.0,49ers,Doug Cunningham 7 yard rush (Bruce Gossett kick),31,7
6,4.0,Saints,Danny Abramowicz 40 yard pass from Archie Manning (Skip Butler kick),31,14
7,4.0,49ers,Dick Witcher 11 yard pass from John Brodie (Bruce Gossett kick),38,14
8,4.0,Saints,Danny Abramowicz 10 yard pass from Archie Manning,38,20
