,Quarter,Tm,Detail,BOS,PHI
0,1.0,Eagles,Jack Ferrante 48 yard pass from Roy Zimmerman (Augie Lio kick),0,7
1,1.0,Eagles,Bosh Pritchard 68 yard rush (Augie Lio kick),0,14
2,1.0,Yanks,John Grigas 1 yard rush,6,14
3,1.0,Yanks,Paul Governali 3 yard rush,12,14
4,2.0,Eagles,Dick Humbert 7 yard pass from Allie Sherman (Augie Lio kick),12,21
5,2.0,Eagles,Steve Van Buren 31 yard rush (Augie Lio kick),12,28
6,3.0,Yanks,Don Currivan 60 yard pass from Paul Governali,18,28
7,3.0,Eagles,Steve Van Buren 2 yard rush (Augie Lio kick),18,35
8,4.0,Eagles,Bosh Pritchard 35 yard pass from Tommy Thompson (Augie Lio kick),18,42
9,4.0,Eagles,Bert Kuczynski 9 yard pass from Tommy Thompson (Augie Lio kick),18,49
10,4.0,Yanks,Hal Crisler 62 yard pass from Paul Governali (Nick Scollard kick),25,49
