,Quarter,Tm,Detail,DAL,WAS
0,1.0,Cowboys,Mike Clark 36 yard field goal,3,0
1,1.0,Redskins,Jerry Smith 27 yard pass from Sonny Jurgensen (Curt Knight kick),3,7
2,1.0,Cowboys,Lance Rentzel 65 yard pass from Craig Morton (Mike Clark kick),10,7
3,1.0,Cowboys,Larry Cole 41 yard interception return (Mike Clark kick),17,7
4,2.0,Cowboys,Calvin Hill 3 yard rush (Mike Clark kick),24,7
5,2.0,Redskins,Charley Taylor 68 yard pass from Sonny Jurgensen (Curt Knight kick),24,14
6,2.0,Cowboys,Mike Clark 14 yard field goal,27,14
7,2.0,Redskins,Jerry Smith 11 yard pass from Sonny Jurgensen (Curt Knight kick),27,21
8,3.0,Cowboys,Calvin Hill 7 yard rush (Mike Clark kick),34,21
9,3.0,Redskins,Jerry Smith 20 yard pass from Sonny Jurgensen (Curt Knight kick),34,28
10,4.0,Cowboys,Dan Reeves 4 yard rush (Mike Clark kick),41,28
