,Quarter,Tm,Detail,CHI,BAL
0,1.0,Bears,George Farmer 20 yard pass from Jack Concannon (Mac Percival kick),7,0
1,1.0,Bears,Mac Percival 28 yard field goal,10,0
2,1.0,Bears,Rich Coady 1 yard pass from Jack Concannon (Mac Percival kick),17,0
3,2.0,Colts,Jerry Hill 1 yard rush (Jim O'Brien kick),17,7
4,2.0,Colts,Roy Jefferson 7 yard pass from Johnny Unitas (Jim O'Brien kick),17,14
5,4.0,Bears,Mac Percival 27 yard field goal,20,14
6,4.0,Colts,John Mackey 54 yard pass from Johnny Unitas (Jim O'Brien kick),20,21
