,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,8:21,Bears,Connor Barth 23 yard field goal,0,3
1,1.0,3:23,Bears,Adam Shaheen 1 yard pass from Mitchell Trubisky (Connor Barth kick),0,10
2,2.0,14:00,Lions,D.J. Hayden 27 yard fumble return (Matt Prater kick),7,10
3,2.0,8:30,Bears,Jordan Howard 12 yard rush (Connor Barth kick),7,17
4,2.0,5:17,Lions,Marvin Jones 28 yard pass from Matthew Stafford (Matt Prater kick),14,17
5,2.0,0:20,Lions,Ameer Abdullah 2 yard pass from Matthew Stafford (Matt Prater kick),21,17
6,4.0,10:01,Lions,Matt Prater 27 yard field goal,24,17
7,4.0,5:02,Bears,Tarik Cohen 15 yard rush (Connor Barth kick),24,24
8,4.0,1:35,Lions,Matt Prater 52 yard field goal,27,24
