,Quarter,Tm,Detail,PHI,ATL
0,2.0,Falcons,Tracy Johnson 1 yard rush (Greg Davis kick),0,7
1,2.0,Eagles,Keith Jackson 1 yard pass from Randall Cunningham (Roger Ruzek kick),7,7
2,2.0,Falcons,Greg Davis 53 yard field goal,7,10
3,3.0,Falcons,Greg Davis 46 yard field goal,7,13
4,4.0,Falcons,Greg Davis 28 yard field goal,7,16
5,4.0,Eagles,Keith Jackson 17 yard pass from Randall Cunningham (Roger Ruzek kick),14,16
6,4.0,Eagles,Calvin Williams 30 yard pass from Randall Cunningham (Roger Ruzek kick),21,16
7,4.0,Falcons,Andre Rison 23 yard pass from Chris Miller (Greg Davis kick),21,23
8,4.0,Eagles,Roger Ruzek 46 yard field goal,24,23
