,Quarter,Tm,Detail,GNB,BAL
0,1.0,Colts,Joe Perry 2 yard rush (Steve Myhra kick),0,7
1,1.0,Packers,Bart Starr 21 yard rush (Paul Hornung kick),7,7
2,2.0,Colts,Alex Hawkins 4 yard pass from Johnny Unitas (Steve Myhra kick),7,14
3,2.0,Packers,Paul Hornung 17 yard rush (Paul Hornung kick),14,14
4,2.0,Colts,Lenny Moore 38 yard pass from Johnny Unitas (Steve Myhra kick),14,21
5,3.0,Colts,Steve Myhra 12 yard field goal,14,24
6,3.0,Colts,Jimmy Orr 19 yard pass from Johnny Unitas (Steve Myhra kick),14,31
7,4.0,Colts,Jimmy Orr 4 yard pass from Johnny Unitas (Steve Myhra kick),14,38
8,4.0,Colts,Joe Perry 15 yard rush (Steve Myhra kick),14,45
9,4.0,Packers,Jesse Whittenton 41 yard interception return (Paul Hornung kick),21,45
