,Quarter,Time,Tm,Detail,GNB,TAM
0,2.0,12:31,Buccaneers,Keyshawn Johnson 5 yard pass from Shaun King (Martin Gramatica kick),0,7
1,2.0,11:18,Packers,Ryan Longwell 52 yard field goal,3,7
2,2.0,1:53,Buccaneers,Reidel Anthony 19 yard pass from Shaun King (Martin Gramatica kick),3,14
3,3.0,8:38,Packers,Ryan Longwell 42 yard field goal,6,14
4,3.0,5:29,Packers,Ryan Longwell 45 yard field goal,9,14
5,4.0,14:01,Packers,Bubba Franks 27 yard pass from Matt Hasselbeck (pass failed),15,14
6,4.0,10:12,Buccaneers,Martin Gramatica 54 yard field goal,15,17
7,4.0,6:50,Buccaneers,Martin Gramatica 51 yard field goal,15,20
