,Quarter,Time,Tm,Detail,DET,ATL
0,1.0,,Falcons,Morten Andersen 32 yard field goal,0,3
1,1.0,,Falcons,Alton Montgomery 71 yard interception return (Morten Andersen kick),0,10
2,2.0,,Falcons,Morten Andersen 47 yard field goal,0,13
3,2.0,,Falcons,Eric Metcalf 7 yard pass from Jeff George (run failed),0,19
4,2.0,,Falcons,Craig Heyward 3 yard rush (Terance Mathis pass from Jeff George),0,27
5,2.0,,Lions,Johnnie Morton 32 yard pass from Scott Mitchell (Jason Hanson kick),7,27
6,3.0,,Falcons,Craig Heyward 2 yard rush (Morten Andersen kick),7,34
7,3.0,,Lions,Brett Perriman 16 yard pass from Scott Mitchell (pass failed),13,34
8,4.0,,Lions,Scott Mitchell 10 yard rush (Jason Hanson kick),20,34
9,4.0,,Lions,"Safety, George pushed out of end zone",22,34
