,Quarter,Tm,Detail,AKR,RAC
0,2.0,Legion,Hank Gillo 50 yard field goal,0,3
1,2.0,Legion,Hank Gillo 48 yard field goal,0,6
2,2.0,Pros,Al Nesser 60 yard interception return,7,6
3,4.0,Legion,Hank Gillo 30 yard field goal,7,9
