,Quarter,Tm,Detail,OAK,DEN
0,1.0,Raiders,Burgess Owens 58 yard interception return (Chris Bahr kick),7,0
1,2.0,Broncos,Dave Preston 2 yard rush (Fred Steinfort kick),7,7
2,2.0,Raiders,Chris Bahr 44 yard field goal,10,7
3,2.0,Raiders,Bob Chandler 11 yard pass from Jim Plunkett (Chris Bahr kick),17,7
4,3.0,Broncos,Riley Odoms 12 yard pass from Craig Morton (Fred Steinfort kick),17,14
5,4.0,Raiders,Bob Chandler 38 yard pass from Jim Plunkett (Chris Bahr kick),24,14
6,4.0,Broncos,Dave Preston 9 yard rush (Fred Steinfort kick),24,21
