,Quarter,Time,Tm,Detail,NYJ,CAR
0,1.0,8:27,Panthers,Rashard Anderson 94 yard defensive fumble return (John Kasay kick failed),0,6
1,1.0,1:46,Jets,Chris Hayes 7 yard blocked punt return (John Hall kick),7,6
2,2.0,0:00,Panthers,John Kasay 45 yard field goal,7,9
3,3.0,12:10,Panthers,John Kasay 45 yard field goal,7,12
4,3.0,7:52,Jets,John Hall 43 yard field goal,10,12
5,4.0,4:53,Jets,John Hall 34 yard field goal,13,12
