,Quarter,Time,Tm,Detail,CIN,KAN
0,1.0,8:08,Chiefs,Kareem Hunt 6 yard pass from Patrick Mahomes (Harrison Butker kick),0,7
1,2.0,13:18,Chiefs,Kareem Hunt 15 yard pass from Patrick Mahomes (Harrison Butker kick),0,14
2,2.0,7:25,Bengals,C.J. Uzomah 4 yard pass from Andy Dalton (Randy Bullock kick),7,14
3,2.0,1:55,Chiefs,Demetrius Harris 17 yard pass from Patrick Mahomes (Harrison Butker kick),7,21
4,2.0,0:08,Chiefs,Harrison Butker 26 yard field goal,7,24
5,3.0,11:19,Chiefs,Kareem Hunt 2 yard rush (Harrison Butker kick),7,31
6,3.0,11:10,Chiefs,Ron Parker 33 yard interception return (Harrison Butker kick),7,38
7,3.0,6:16,Bengals,Randy Bullock 33 yard field goal,10,38
8,4.0,12:50,Chiefs,Tyreek Hill 3 yard pass from Patrick Mahomes (Harrison Butker kick),10,45
