,Quarter,Time,Tm,Detail,DET,CLE
0,1.0,8:55,Browns,Kevin Johnson 4 yard pass from Tim Couch (Phil Dawson kick),0,7
1,2.0,13:21,Browns,Shaun O'Hara 2 yard pass from Tim Couch (Phil Dawson kick),0,14
2,3.0,11:36,Browns,Phil Dawson 33 yard field goal,0,17
3,3.0,7:26,Lions,Terry Fair 26 yard interception return (Jason Hanson kick),7,17
4,3.0,4:25,Browns,Quincy Morgan 34 yard pass from Tim Couch (Phil Dawson kick),7,24
5,4.0,11:25,Lions,Johnnie Morton 14 yard pass from Ty Detmer (Jason Hanson kick),14,24
