,Quarter,Tm,Detail,PHI,PIT
0,1.0,Steelers,Tony Compagno 39 yard pass from Johnny Clement (Joe Glamp kick),0,7
1,1.0,Eagles,Pete Pihos 43 yard pass from Tommy Thompson (Cliff Patton kick),7,7
2,1.0,Eagles,Cliff Patton 14 yard field goal,10,7
3,2.0,Eagles,Bosh Pritchard 69 yard pass from Tommy Thompson (Cliff Patton kick),17,7
4,2.0,Steelers,Johnny Clement 5 yard rush (Joe Glamp kick),17,14
5,2.0,Eagles,Pete Pihos 17 yard pass from Tommy Thompson (Cliff Patton kick),24,14
6,4.0,Steelers,Bill Garnaas 19 yard pass from Johnny Clement (Joe Glamp kick),24,21
7,4.0,Steelers,Johnny Clement 23 yard rush (Joe Glamp kick),24,28
8,4.0,Steelers,Steve Lach 1 yard rush (Joe Glamp kick),24,35
