,Quarter,Tm,Detail,MIN,CHI
0,2.0,Bears,John Roveto 29 yard field goal,0,3
1,4.0,Vikings,Ahmad Rashad 3 yard pass from Tommy Kramer (Rick Danmeier kick),7,3
2,4.0,Bears,Brian Baschnagel 72 yard pass from Bob Avellini (John Roveto kick),7,10
3,4.0,Vikings,"Safety, Parsons tackled in end zone",9,10
