,Quarter,Tm,Detail,NYG,DAL
0,1.0,Giants,Fran Tarkenton 22 yard rush (Pete Gogolak kick),7,0
1,2.0,Giants,Joe Morrison 5 yard pass from Fran Tarkenton (Pete Gogolak kick),14,0
2,2.0,Cowboys,Bob Hayes 9 yard pass from Don Meredith (Mike Clark kick),14,7
3,2.0,Cowboys,Lance Rentzel 20 yard pass from Don Meredith (Mike Clark kick),14,14
4,3.0,Giants,Homer Jones 60 yard pass from Fran Tarkenton (Pete Gogolak kick),21,14
5,4.0,Giants,Pete Gogolak 25 yard field goal,24,14
6,3.0,Cowboys,Craig Baynham 1 yard rush (Mike Clark kick),24,21
7,4.0,Giants,Pete Gogolak 10 yard field goal,27,21
