,Quarter,Tm,Detail,TAM,PHI
0,1.0,Buccaneers,Doug Williams 1 yard rush (Bill Capece kick),7,0
1,2.0,Eagles,Keith Krepfle 6 yard pass from Ron Jaworski (Tony Franklin kick),7,7
2,4.0,Eagles,Tony Franklin 44 yard field goal,7,10
3,4.0,Buccaneers,Bill Capece 29 yard field goal,10,10
4,4.0,Eagles,Tony Franklin 32 yard field goal,10,13
5,4.0,Eagles,Wilbert Montgomery 2 yard rush (Tony Franklin kick),10,20
