,Quarter,Time,Tm,Detail,CIN,NYJ
0,1.0,12:36,Bengals,Rudi Johnson 9 yard rush (Shayne Graham kick),7,0
1,1.0,8:48,Jets,Curtis Martin 3 yard pass from Chad Pennington (Doug Brien kick),7,7
2,1.0,3:09,Jets,Jonathan Carter 46 yard pass from Chad Pennington (Doug Brien kick),7,14
3,2.0,3:17,Bengals,Shayne Graham 22 yard field goal,10,14
4,3.0,11:56,Jets,Donnie Abraham 41 yard defensive fumble return (Doug Brien kick),10,21
5,3.0,6:20,Bengals,Kenny Watson 6 yard pass from Carson Palmer (Shayne Graham kick),17,21
6,3.0,0:26,Jets,Doug Brien 21 yard field goal,17,24
7,4.0,9:35,Jets,Curtis Martin 24 yard rush (Doug Brien kick),17,31
8,4.0,6:28,Bengals,Chad Johnson 53 yard pass from Carson Palmer (Shayne Graham kick),24,31
