,Quarter,Time,Tm,Detail,SDG,PHI
0,1.0,7:26,Chargers,Nick Novak 49 yard field goal,3,0
1,1.0,5:30,Eagles,Alex Henery 25 yard field goal,3,3
2,2.0,14:07,Chargers,Eddie Royal 11 yard pass from Philip Rivers (Nick Novak kick),10,3
3,2.0,8:01,Chargers,Nick Novak 44 yard field goal,13,3
4,2.0,6:41,Eagles,Riley Cooper 13 yard pass from Michael Vick (Alex Henery kick),13,10
5,3.0,10:04,Chargers,Eddie Royal 24 yard pass from Philip Rivers (Nick Novak kick),20,10
6,3.0,6:45,Eagles,Alex Henery 48 yard field goal,20,13
7,3.0,4:42,Eagles,DeSean Jackson 61 yard pass from Michael Vick (Alex Henery kick),20,20
8,4.0,10:47,Chargers,Nick Novak 33 yard field goal,23,20
9,4.0,7:06,Eagles,Michael Vick 2 yard rush (Alex Henery kick),23,27
10,4.0,3:11,Chargers,Eddie Royal 15 yard pass from Philip Rivers (Nick Novak kick),30,27
11,4.0,1:51,Eagles,Alex Henery 32 yard field goal,30,30
12,4.0,0:07,Chargers,Nick Novak 46 yard field goal,33,30
