,Quarter,Tm,Detail,SEA,NYJ
0,2.0,Seahawks,Steve Largent 10 yard rush (Efren Herrera kick),7,0
1,3.0,Seahawks,Steve Largent 27 yard pass from Jim Zorn,13,0
2,3.0,Jets,Pat Leahy 34 yard field goal,13,3
3,4.0,Seahawks,Sherman Smith 4 yard rush,19,3
