,Quarter,Tm,Detail,MIN,TAM
0,1.0,Vikings,Ted Brown 1 yard rush (Jan Stenerud kick),7,0
1,1.0,Vikings,Ted Brown 13 yard pass from Tommy Kramer (Jan Stenerud kick),14,0
2,1.0,Buccaneers,Adger Armstrong 1 yard rush (Obed Ariri kick),14,7
3,2.0,Buccaneers,Kevin House 7 yard pass from Steve DeBerg (Obed Ariri kick),14,14
4,2.0,Vikings,Mike Mularkey 1 yard pass from Tommy Kramer (Jan Stenerud kick),21,14
5,2.0,Buccaneers,James Wilder 11 yard rush (Obed Ariri kick),21,21
6,3.0,Buccaneers,Gerald Carter 6 yard pass from Steve DeBerg (Obed Ariri kick),21,28
7,4.0,Vikings,Jan Stenerud 20 yard field goal,24,28
8,4.0,Buccaneers,James Wilder 10 yard rush (Obed Ariri kick),24,35
9,4.0,Vikings,Alfred Anderson 6 yard rush (Jan Stenerud kick),31,35
