,Quarter,Tm,Detail,MIN,WAS
0,1.0,Redskins,Don Warren 3 yard pass from Joe Theismann (Mark Moseley kick),0,7
1,1.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),0,14
2,2.0,Vikings,Ted Brown 18 yard rush (Rick Danmeier kick),7,14
3,2.0,Redskins,Alvin Garrett 18 yard pass from Joe Theismann (Mark Moseley kick),7,21
