,Quarter,Tm,Detail,WAS,NWE
0,1.0,Redskins,Kurt Gouveia 39 yard defensive fumble return (Chip Lohmiller kick),7,0
1,1.0,Redskins,"Safety, ball snapped out of end zone",9,0
2,2.0,Redskins,Earnest Byner 5 yard rush (Chip Lohmiller kick),16,0
3,2.0,Redskins,Chip Lohmiller 19 yard field goal,19,0
4,3.0,Patriots,John Stephens 4 yard rush (Jason Staurovsky kick),19,7
5,4.0,Patriots,Jason Staurovsky 42 yard field goal,19,10
6,4.0,Redskins,Chip Lohmiller 38 yard field goal,22,10
7,4.0,Redskins,Chip Lohmiller 26 yard field goal,25,10
