,Quarter,Tm,Detail,SFO,PHI
0,1.0,49ers,Hugh McElhenny 1 yard rush (Gordie Soltau kick),7,0
1,1.0,Eagles,Bobby Walston 29 yard field goal,7,3
2,1.0,Eagles,Billy Ray Barnes 1 yard rush (Bobby Walston kick),7,10
3,1.0,49ers,Hugh McElhenny 59 yard pass from John Brodie (Gordie Soltau kick),14,10
4,2.0,49ers,Clyde Conner 21 yard pass from John Brodie (Gordie Soltau kick),21,10
5,2.0,Eagles,Bobby Walston 4 yard pass from Norm Van Brocklin (Bobby Walston kick),21,17
6,2.0,49ers,Gordie Soltau 28 yard field goal,24,17
7,3.0,49ers,Gordie Soltau 39 yard field goal,27,17
8,4.0,Eagles,Tommy McDonald 7 yard pass from Norm Van Brocklin (Bobby Walston kick),27,24
9,4.0,49ers,Gordie Soltau 21 yard field goal,30,24
