,Quarter,Tm,Detail,HOU,IND
0,1.0,Colts,Eric Dickerson 19 yard rush (Dean Biasucci kick),0,7
1,2.0,Oilers,Tony Zendejas 28 yard field goal,3,7
2,2.0,Colts,Albert Bentley 72 yard pass from Gary Hogeboom (Dean Biasucci kick),3,14
3,2.0,Colts,Eric Dickerson 13 yard rush (Dean Biasucci kick),3,21
4,2.0,Oilers,Drew Hill 7 yard pass from Warren Moon (Tony Zendejas kick),10,21
5,2.0,Colts,Albert Bentley 22 yard pass from Gary Hogeboom (Dean Biasucci kick),10,28
6,3.0,Colts,Dean Biasucci 36 yard field goal,10,31
7,3.0,Oilers,Jamie Williams 7 yard pass from Warren Moon (Tony Zendejas kick),17,31
8,4.0,Oilers,Tony Zendejas 44 yard field goal,20,31
9,4.0,Colts,Dean Biasucci 45 yard field goal,20,34
10,4.0,Colts,Matt Bouza 4 yard pass from Jack Trudeau (Dean Biasucci kick),20,41
11,4.0,Oilers,Drew Hill 40 yard pass from Warren Moon (Tony Zendejas kick),27,41
12,4.0,Colts,Dean Biasucci 49 yard field goal,27,44
13,4.0,Colts,George Wonsley 2 yard rush (Dean Biasucci kick),27,51
