,Quarter,Time,Tm,Detail,NOR,GNB
0,1.0,9:02,Packers,James Jones 12 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
1,1.0,3:33,Saints,Marques Colston 20 yard pass from Drew Brees (Garrett Hartley kick),7,7
2,2.0,14:15,Packers,Greg Jennings 9 yard pass from Aaron Rodgers (Mason Crosby kick),7,14
3,2.0,4:50,Packers,James Jones 14 yard pass from Aaron Rodgers (Mason Crosby kick),7,21
4,2.0,0:27,Saints,Darren Sproles 6 yard pass from Drew Brees (Garrett Hartley kick),14,21
5,3.0,9:41,Saints,Garrett Hartley 20 yard field goal,17,21
6,3.0,3:49,Saints,Joe Morgan 80 yard pass from Drew Brees (Garrett Hartley kick),24,21
7,4.0,13:04,Saints,Garrett Hartley 27 yard field goal,27,21
8,4.0,7:00,Packers,Jordy Nelson 11 yard pass from Aaron Rodgers (Mason Crosby kick),27,28
