,Quarter,Tm,Detail,MIA,BAL
0,1.0,Colts,Curtis Dickey 38 yard rush (Steve Mike-Mayer kick),0,7
1,1.0,Dolphins,Woody Bennett 19 yard pass from David Woodley (Uwe von Schamann kick),7,7
2,2.0,Dolphins,Jimmy Cefalo 37 yard pass from David Woodley (Uwe von Schamann kick),14,7
3,3.0,Colts,Reese McCall 16 yard pass from Bert Jones (Steve Mike-Mayer kick),14,14
4,4.0,Dolphins,Uwe von Schamann 34 yard field goal,17,14
5,4.0,Dolphins,Nat Moore 26 yard pass from David Woodley (Uwe von Schamann kick),24,14
