,Quarter,Tm,Detail,KAN,DAL
0,1.0,Cowboys,Ron Springs 1 yard rush (Rafael Septien kick),0,7
1,1.0,Cowboys,Rafael Septien 25 yard field goal,0,10
2,2.0,Cowboys,Tony Dorsett 28 yard rush (Rafael Septien kick),0,17
3,2.0,Cowboys,Rafael Septien 40 yard field goal,0,20
4,3.0,Cowboys,Tony Dorsett 32 yard rush (Rafael Septien kick),0,27
5,3.0,Chiefs,Carlos Carson 13 yard pass from Bill Kenney (Nick Lowery kick),7,27
6,3.0,Chiefs,Carlos Carson 48 yard pass from Bill Kenney (Nick Lowery kick),14,27
7,4.0,Cowboys,Timmy Newsome 7 yard rush (Rafael Septien kick),14,34
8,4.0,Cowboys,Gary Allen 68 yard punt return (Rafael Septien kick),14,41
9,4.0,Chiefs,Stephone Paige 7 yard pass from Todd Blackledge (Nick Lowery kick),21,41
