,Quarter,Tm,Detail,WAS,SEA
0,2.0,Seahawks,John Kasay 22 yard field goal,0,3
1,2.0,Redskins,Chip Lohmiller 48 yard field goal,3,3
2,3.0,Redskins,Chip Lohmiller 33 yard field goal,6,3
3,3.0,Redskins,Chip Lohmiller 37 yard field goal,9,3
4,4.0,Redskins,Terry Orr 26 yard pass from Mark Rypien (Chip Lohmiller kick),16,3
