,Quarter,Tm,Detail,NOR,DAL
0,1.0,Saints,Morten Andersen 43 yard field goal,3,0
1,2.0,Saints,Rueben Mayes 15 yard rush (Morten Andersen kick),10,0
2,3.0,Cowboys,Emmitt Smith 1 yard rush (Ken Willis kick),10,7
3,3.0,Saints,Morten Andersen 50 yard field goal,13,7
4,4.0,Cowboys,Daryl Johnston 5 yard pass from Troy Aikman (Ken Willis kick),13,14
5,4.0,Cowboys,Ken Willis 47 yard field goal,13,17
