,Quarter,Tm,Detail,MIA,TAM
0,1.0,Buccaneers,Bill Capece 28 yard field goal,0,3
1,2.0,Dolphins,Uwe von Schamann 29 yard field goal,3,3
2,2.0,Buccaneers,Bill Capece 27 yard field goal,3,6
3,3.0,Buccaneers,Doug Williams 3 yard rush (Bill Capece kick),3,13
4,3.0,Buccaneers,Bill Capece 36 yard field goal,3,16
5,4.0,Dolphins,Joe Rose 7 yard pass from Don Strock (Uwe von Schamann kick),10,16
6,4.0,Buccaneers,James Wilder 2 yard rush (Bill Capece kick),10,23
7,4.0,Dolphins,Joe Rose 11 yard pass from Don Strock (Uwe von Schamann kick),17,23
