,Quarter,Tm,Detail,BUF,CIN
0,1.0,Bengals,Ickey Woods 1 yard rush (Jim Breech kick),0,7
1,2.0,Bills,Andre Reed 9 yard pass from Jim Kelly (Scott Norwood kick),7,7
2,2.0,Bengals,James Brooks 10 yard pass from Boomer Esiason (Jim Breech kick),7,14
3,2.0,Bills,Scott Norwood 39 yard field goal,10,14
4,4.0,Bengals,Ickey Woods 1 yard rush (Jim Breech kick),10,21
