,Quarter,Time,Tm,Detail,BAL,OAK
0,1.0,12:49,Raiders,Amari Cooper 68 yard pass from Derek Carr (Sebastian Janikowski kick),0,7
1,1.0,11:44,Raiders,Sebastian Janikowski 23 yard field goal,0,10
2,1.0,7:41,Ravens,Justin Tucker 22 yard field goal,3,10
3,1.0,0:00,Ravens,Crockett Gillmore 26 yard pass from Joe Flacco (Justin Tucker kick),10,10
4,2.0,12:52,Raiders,Latavius Murray 1 yard rush (Sebastian Janikowski kick),10,17
5,2.0,7:44,Ravens,Crockett Gillmore 9 yard pass from Joe Flacco (Justin Tucker kick),17,17
6,2.0,2:00,Raiders,Sebastian Janikowski 46 yard field goal,17,20
7,2.0,0:00,Ravens,Justin Tucker 21 yard field goal,20,20
8,3.0,8:44,Raiders,Sebastian Janikowski 48 yard field goal,20,23
9,3.0,2:12,Raiders,Michael Crabtree 29 yard pass from Derek Carr (Sebastian Janikowski kick),20,30
10,4.0,13:37,Ravens,Justin Tucker 37 yard field goal,23,30
11,4.0,7:03,Ravens,Lorenzo Taliaferro 7 yard rush (Justin Tucker kick),30,30
12,4.0,2:10,Ravens,Justin Tucker 31 yard field goal,33,30
13,4.0,0:26,Raiders,Seth Roberts 12 yard pass from Derek Carr (Sebastian Janikowski kick),33,37
