,Quarter,Time,Tm,Detail,SFO,CAR
0,1,,Panthers,Muhsin Muhammad 12 yard pass from Steve Beuerlein (John Kasay kick),0,7
1,1,,49ers,J.J. Stokes 2 yard pass from Steve Young (Wade Richey kick),7,7
2,2,,49ers,Terrell Owens 28 yard pass from Terry Kirby (Wade Richey kick),14,7
3,2,1:30,49ers,J.J. Stokes 33 yard pass from Steve Young (Wade Richey kick),21,7
4,3,1:30,49ers,Garrison Hearst 71 yard rush (Wade Richey kick),28,7
5,3,1:30,Panthers,Anthony Johnson 38 yard pass from Steve Beuerlein (John Kasay kick),28,14
6,4,1:30,Panthers,Rocket Ismail 40 yard pass from Steve Beuerlein (John Kasay kick),28,21
7,4,1:30,Panthers,Tim Biakabutuka 10 yard rush (John Kasay kick),28,28
8,OT,1:30,49ers,Wade Richey 23 yard field goal,31,28
