,Quarter,Tm,Detail,HOU,CHI
0,2.0,Bears,Neal Anderson 6 yard pass from Mike Tomczak (Kevin Butler kick),0,7
1,2.0,Oilers,Tony Zendejas 27 yard field goal,3,7
2,2.0,Oilers,Drew Hill 42 yard pass from Warren Moon (Tony Zendejas kick),10,7
3,2.0,Bears,Neal Anderson 1 yard rush (Kevin Butler kick),10,14
4,3.0,Oilers,Tony Zendejas 19 yard field goal,13,14
5,3.0,Bears,Dennis Gentry 79 yard pass from Mike Tomczak (Kevin Butler kick),13,21
6,3.0,Oilers,Haywood Jeffires 45 yard pass from Warren Moon,19,21
7,4.0,Bears,James Thornton 7 yard pass from Mike Tomczak (Kevin Butler kick),19,28
8,4.0,Oilers,Warren Moon 1 yard rush (Tony Zendejas kick),26,28
9,4.0,Oilers,Lorenzo White 12 yard rush (Tony Zendejas kick),33,28
