,Quarter,Time,Tm,Detail,NYJ,HOU
0,1.0,,Oilers,Al Del Greco 49 yard field goal,0,3
1,1.0,,Oilers,Haywood Jeffires 35 yard pass from Steve McNair (Al Del Greco kick),0,10
2,2.0,,Oilers,Al Del Greco 53 yard field goal,0,13
3,4.0,,Oilers,Al Del Greco 24 yard field goal,0,16
4,4.0,,Oilers,Marion Butts 1 yard rush (Al Del Greco kick),0,23
5,4.0,,Jets,Johnny Mitchell 17 yard pass from Boomer Esiason (pass failed),6,23
