,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Jets,Pat Leahy 44 yard field goal,3,0
1,2.0,Bills,Joe Cribbs 1 yard rush (Nick Mike-Mayer kick),3,7
2,2.0,Bills,Nick Mike-Mayer 47 yard field goal,3,10
3,3.0,Bills,Nick Mike-Mayer 38 yard field goal,3,13
4,3.0,Bills,Jeff Nixon 50 yard interception return (Nick Mike-Mayer kick),3,20
5,4.0,Jets,Clark Gaines 11 yard pass from Richard Todd (Pat Leahy kick),10,20
