,Quarter,Time,Tm,Detail,NYJ,MIA
0,2.0,,Dolphins,Terry Kirby 1 yard rush (Pete Stoyanovich kick),0,7
1,2.0,,Dolphins,Keith Byars 11 yard pass from Dan Marino (Pete Stoyanovich kick),0,14
2,3.0,,Jets,Richie Anderson 27 yard pass from Boomer Esiason (Nick Lowery kick),7,14
3,3.0,,Dolphins,Irving Fryar 2 yard pass from Dan Marino (Pete Stoyanovich kick),7,21
4,4.0,,Dolphins,Bernie Parmalee 5 yard rush (Pete Stoyanovich kick),7,28
5,4.0,,Jets,Johnny Johnson 2 yard pass from Boomer Esiason (Nick Lowery kick),14,28
