,Quarter,Tm,Detail,RAM,BAL
0,1.0,Rams,Jack Snow 53 yard pass from Roman Gabriel (Bruce Gossett kick),7,0
1,1.0,Colts,Lou Michaels 45 yard field goal,7,3
2,2.0,Colts,Lenny Moore 3 yard rush (Lou Michaels kick),7,10
3,3.0,Rams,Jack Snow 80 yard pass from Roman Gabriel (Bruce Gossett kick),14,10
4,3.0,Colts,Alex Hawkins 14 yard pass from Johnny Unitas (Lou Michaels kick),14,17
5,4.0,Colts,Willie Richardson 31 yard pass from Johnny Unitas (Lou Michaels kick),14,24
6,4.0,Rams,Bruce Gossett 47 yard field goal,17,24
7,4.0,Rams,Bernie Casey 16 yard pass from Roman Gabriel (Bruce Gossett kick),24,24
