,Quarter,Tm,Detail,BUF,DET
0,1.0,Lions,Freddie Scott 5 yard pass from Jeff Komlo (Benny Ricardo kick),0,7
1,1.0,Lions,Horace King 11 yard rush (Benny Ricardo kick),0,14
2,3.0,Bills,Nick Mike-Mayer 23 yard field goal,3,14
3,3.0,Lions,Benny Ricardo 40 yard field goal,3,17
4,3.0,Bills,Nick Mike-Mayer 42 yard field goal,6,17
5,4.0,Bills,Curtis Brown 3 yard rush (Nick Mike-Mayer kick),13,17
6,4.0,Bills,Reuben Gant 7 yard pass from Joe Ferguson (Nick Mike-Mayer kick),20,17
