,Quarter,Tm,Detail,PHO,HOU
0,1.0,Oilers,Alonzo Highsmith 7 yard rush (Tony Zendejas kick),0,7
1,2.0,Oilers,Tony Zendejas 37 yard field goal,0,10
2,2.0,Oilers,Drew Hill 50 yard pass from Warren Moon (Tony Zendejas kick),0,17
3,2.0,Cardinals,Robert Awalt 52 yard pass from Cliff Stoudt (Al Del Greco kick),7,17
4,2.0,Oilers,Warren Moon 1 yard rush (Tony Zendejas kick),7,24
5,3.0,Cardinals,J.T. Smith 4 yard pass from Cliff Stoudt (Al Del Greco kick),14,24
6,3.0,Oilers,Ernest Givins 30 yard pass from Warren Moon (Tony Zendejas kick),14,31
7,4.0,Oilers,Ernest Givins 13 yard pass from Warren Moon (Tony Zendejas kick),14,38
8,4.0,Cardinals,Ernie Jones 14 yard pass from Cliff Stoudt,20,38
