,Quarter,Tm,Detail,PIT,NYG
0,1.0,Giants,Del Shofner 33 yard pass from Earl Morrall (Bob Timberlake kick),0,7
1,1.0,Steelers,Mike Clark 25 yard field goal,3,7
2,2.0,Steelers,Gary Ballman 1 yard rush (Mike Clark kick),10,7
3,2.0,Giants,Tucker Frederickson 13 yard rush (Bob Timberlake kick),10,14
4,2.0,Giants,Tucker Frederickson 3 yard rush (Bob Timberlake kick),10,21
5,2.0,Giants,Tucker Frederickson 19 yard pass from Earl Morrall (Bob Timberlake kick),10,28
6,4.0,Giants,Homer Jones 28 yard pass from Gary Wood (Bob Timberlake kick),10,35
