,Quarter,Time,Tm,Detail,NWE,NYJ
0,1.0,5:27,Patriots,Mike Vrabel 1 yard pass from Tom Brady (Adam Vinatieri kick),7,0
1,1.0,4:18,Jets,Ty Law 74 yard interception return (Mike Nugent kick),7,7
2,2.0,6:05,Patriots,Mike Vrabel 2 yard pass from Tom Brady (Adam Vinatieri kick),14,7
3,2.0,0:37,Patriots,Corey Dillon 1 yard rush (Adam Vinatieri kick),21,7
4,3.0,5:36,Patriots,Corey Dillon 1 yard rush (Adam Vinatieri kick),28,7
5,4.0,13:52,Jets,Laveranues Coles 11 yard pass from Brooks Bollinger (Mike Nugent kick),28,14
6,4.0,7:15,Patriots,Adam Vinatieri 26 yard field goal,31,14
7,4.0,2:10,Jets,Laveranues Coles 27 yard pass from Vinny Testaverde (Mike Nugent kick),31,21
