,Quarter,Tm,Detail,CRD,CHI
0,1.0,Cardinals,Ernie Nevers unknown yard rush,6,0
1,1.0,Cardinals,Ernie Nevers unknown yard rush (Ernie Nevers kick),13,0
2,2.0,Cardinals,Ernie Nevers unknown yard rush (Ernie Nevers kick),20,0
3,3.0,Bears,Gardie Grange 60 yard pass from Walt Holmer,20,6
4,3.0,Cardinals,Ernie Nevers unknown yard rush (Ernie Nevers kick),27,6
5,4.0,Cardinals,Ernie Nevers unknown yard rush,33,6
6,4.0,Cardinals,Ernie Nevers unknown yard rush (Ernie Nevers kick),40,6
