,Quarter,Tm,Detail,HOU,CLE
0,1.0,Browns,Bernie Kosar 2 yard rush (Matt Bahr kick),0,7
1,2.0,Browns,Ozzie Newsome 2 yard pass from Bernie Kosar (Matt Bahr kick),0,14
2,2.0,Oilers,Mike Rozier 3 yard rush (Tony Zendejas kick),7,14
3,3.0,Browns,Fred Banks 8 yard pass from Bernie Kosar (Matt Bahr kick),7,21
4,3.0,Browns,Kevin Mack 5 yard pass from Bernie Kosar (Matt Bahr kick),7,28
5,4.0,Oilers,Butch Woolfolk 15 yard pass from Warren Moon (Tony Zendejas kick),14,28
6,4.0,Oilers,Tim Smith 16 yard pass from Warren Moon (Tony Zendejas kick),21,28
