,Quarter,Tm,Detail,SFO,NOR
0,1.0,49ers,Larry Schreiber 3 yard rush (Steve Mike-Mayer kick),7,0
1,3.0,Saints,Rich Szaro 26 yard field goal,7,3
2,4.0,49ers,Gene Washington 26 yard pass from Steve Spurrier,13,3
3,4.0,Saints,Rich Szaro 50 yard field goal,13,6
4,4.0,49ers,Steve Mike-Mayer 35 yard field goal,16,6
