,Quarter,Time,Tm,Detail,JAX,IND
0,1.0,9:30,Colts,Dallas Clark 5 yard pass from Peyton Manning (Adam Vinatieri kick),0,7
1,1.0,1:31,Colts,Reggie Wayne 48 yard pass from Peyton Manning (Adam Vinatieri kick),0,14
2,2.0,5:21,Jaguars,Maurice Jones-Drew 2 yard rush (Josh Scobee kick),7,14
3,2.0,0:06,Colts,Dallas Clark 14 yard pass from Peyton Manning (Adam Vinatieri kick),7,21
4,3.0,8:06,Jaguars,Marcedes Lewis 2 yard pass from David Garrard (Josh Scobee kick),14,21
5,4.0,11:36,Jaguars,Josh Scobee 47 yard field goal,17,21
6,4.0,8:26,Colts,Luke Lawton 1 yard pass from Peyton Manning (Adam Vinatieri kick),17,28
7,4.0,2:47,Jaguars,Dennis Northcutt 17 yard pass from David Garrard (David Garrard run),25,28
