,Quarter,Time,Tm,Detail,CIN,CAR
0,1.0,11:16,Panthers,Tim Biakabutuka 62 yard rush (John Kasay kick),0,7
1,1.0,4:42,Panthers,John Kasay 48 yard field goal,0,10
2,2.0,0:00,Panthers,John Kasay 21 yard field goal,0,13
3,3.0,5:57,Bengals,Doug Pelfrey 39 yard field goal,3,13
4,3.0,4:47,Panthers,Tim Biakabutuka 67 yard rush (John Kasay kick),3,20
5,4.0,11:03,Panthers,Wesley Walls 4 yard pass from Steve Beuerlein (John Kasay kick),3,27
