,Quarter,Tm,Detail,BOS,WAS
0,1.0,Redskins,Frank Akins 1 yard rush (Joe Aguirre kick),0,7
1,3.0,Yanks,Keith Ranspot 6 yard pass from Leo Stasica (Augie Lio kick),7,7
2,3.0,Redskins,Wilbur Moore 13 yard pass from Sammy Baugh (Joe Aguirre kick),7,14
