,Quarter,Tm,Detail,DET,SFO
0,1.0,Lions,Jim Doran 34 yard pass from Tobin Rote (Bobby Layne kick),7,0
1,2.0,Lions,Bobby Layne 9 yard field goal,10,0
2,2.0,49ers,Clyde Conner 9 yard pass from Y.A. Tittle (Gordie Soltau kick),10,7
3,2.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),10,14
4,3.0,49ers,Hugh McElhenny 5 yard rush (Gordie Soltau kick),10,21
5,4.0,49ers,Gene Babb 1 yard rush (Gordie Soltau kick),10,28
6,4.0,Lions,Jim Doran 31 yard pass from Tobin Rote (Bobby Layne kick),17,28
7,4.0,Lions,Steve Junker 13 yard pass from Tobin Rote (Bobby Layne kick),24,28
8,4.0,Lions,Jim Doran 8 yard pass from Tobin Rote (Bobby Layne kick),31,28
9,4.0,49ers,R.C. Owens 41 yard pass from Y.A. Tittle (Gordie Soltau kick),31,35
