,Quarter,Tm,Detail,PHI,WAS
0,1.0,Eagles,Tom Woodeshick 1 yard rush (Sam Baker kick),7,0
1,1.0,Redskins,Jerry Smith 18 yard pass from Sonny Jurgensen (Charlie Gogolak kick),7,7
2,2.0,Eagles,Sam Baker 47 yard field goal,10,7
3,2.0,Redskins,Jerry Smith 28 yard pass from Sonny Jurgensen (Charlie Gogolak kick),10,14
4,3.0,Eagles,Pete Retzlaff 24 yard pass from King Hill (Sam Baker kick),17,14
5,3.0,Redskins,Charley Taylor 11 yard pass from Sonny Jurgensen (Charlie Gogolak kick),17,21
6,4.0,Eagles,Tom Woodeshick 1 yard rush,23,21
7,4.0,Eagles,Ollie Matson 3 yard rush (Sam Baker kick),30,21
8,4.0,Redskins,Charley Taylor 26 yard pass from Sonny Jurgensen (Charlie Gogolak kick),30,28
9,4.0,Eagles,Harold Wells 60 yard defensive fumble return (Sam Baker kick),37,28
