,Quarter,Time,Tm,Detail,SDG,OAK
0,1.0,10:13,Raiders,Tyrone Wheatley 26 yard pass from Rich Gannon (Michael Husted kick),0,7
1,1.0,0:39,Raiders,Rickey Dudley 2 yard pass from Rich Gannon (Michael Husted kick),0,14
2,3.0,8:44,Chargers,John Carney 39 yard field goal,3,14
3,3.0,3:07,Raiders,Tyrone Wheatley 7 yard pass from Rich Gannon (Michael Husted kick),3,21
4,4.0,5:58,Raiders,Rickey Dudley 12 yard pass from Rich Gannon (Michael Husted kick),3,28
5,4.0,0:44,Chargers,Freddie Jones 11 yard pass from Jim Harbaugh (pass failed),9,28
