,Quarter,Tm,Detail,RAM,DAL
0,2.0,Rams,Roman Gabriel 3 yard rush (Bruce Gossett kick),7,0
1,2.0,Cowboys,Dan Reeves 1 yard rush,7,6
2,3.0,Rams,Les Josephson 17 yard rush (Bruce Gossett kick),14,6
3,3.0,Rams,Eddie Meador 30 yard interception return (Bruce Gossett kick),21,6
4,3.0,Cowboys,Bob Hayes 4 yard pass from Don Meredith (Harold Deters kick),21,13
5,4.0,Rams,Roman Gabriel 1 yard rush (Bruce Gossett kick),28,13
6,4.0,Rams,Dick Bass 21 yard rush (Bruce Gossett kick),35,13
