,Quarter,Time,Tm,Detail,OAK,SEA
0,1.0,11:43,Seahawks,Mack Strong 13 yard pass from Jon Kitna (Rian Lindell kick),0,7
1,1.0,7:12,Raiders,Andre Rison 14 yard pass from Rich Gannon (Sebastian Janikowski kick),7,7
2,1.0,0:58,Seahawks,Rian Lindell 40 yard field goal,7,10
3,2.0,6:04,Raiders,Sebastian Janikowski 25 yard field goal,10,10
4,2.0,0:00,Seahawks,Rian Lindell 52 yard field goal,10,13
5,3.0,6:58,Raiders,Randy Jordan 6 yard rush (Sebastian Janikowski kick),17,13
6,4.0,11:48,Raiders,Randy Jordan 7 yard rush (Sebastian Janikowski kick),24,13
7,4.0,5:16,Seahawks,Shaun Alexander 4 yard rush (pass failed),24,19
8,4.0,2:24,Seahawks,"Safety,",24,21
9,4.0,0:28,Seahawks,Darrell Jackson 9 yard pass from Jon Kitna (run failed),24,27
